reaction	reactant	product	type
R01132	C00130	C00119	kegg
R01134	C00130	C00144	kegg
R01135	C00044	C00035	kegg
R01135	C00044	C03794	kegg
R01135	C00130	C00035	kegg
R01135	C00130	C03794	kegg
R01135	C00049	C00035	kegg
R01135	C00049	C03794	kegg
R01137	C00206	C00131	kegg
R01138	C00131	C00206	kegg
R01138	C00131	C00074	kegg
R01227	C00144	C00387	kegg
R01228	C00387	C00144	kegg
R01229	C00144	C00242	kegg
R01229	C00144	C00119	kegg
R01230	C00655	C00144	kegg
R01231	C00655	C00144	kegg
R01232	C01261	C00044	kegg
R01232	C01261	C00144	kegg
R01234	C00942	C00144	kegg
R01244	C00147	C00262	kegg
R01245	C00212	C00147	kegg
R01245	C00212	C00121	kegg
R01423	C06433	C00180	kegg
R01547	C00360	C00206	kegg
R01560	C00212	C00294	kegg
R01561	C00212	C00147	kegg
R01561	C00212	C00620	kegg
R01562	C01367	C00212	kegg
R01618	C00224	C00059	kegg
R01618	C00224	C01260	kegg
R01676	C00242	C00385	kegg
R01677	C00387	C00242	kegg
R01677	C00387	C00121	kegg
R01690	C06435	C00130	kegg
R01690	C06435	C00246	kegg
R01768	C00262	C00385	kegg
R01769	C00262	C00385	kegg
R01770	C00294	C00262	kegg
R01770	C00294	C00121	kegg
R01855	C00286	C00362	kegg
R01856	C00286	C00330	kegg
R01856	C00286	C00536	kegg
R01857	C00361	C00286	kegg
R01858	C00286	C00361	kegg
R01858	C00286	C00074	kegg
R01863	C00294	C00262	kegg
R01863	C00294	C00620	kegg
R01885	C00301	C00620	kegg
R01967	C00330	C00362	kegg
R01968	C00362	C00330	kegg
R01969	C00330	C00242	kegg
R01969	C00330	C00672	kegg
R02019	C00361	C00035	kegg
R02020	C00286	C00044	kegg
R02088	C00360	C00559	kegg
R02089	C00559	C00360	kegg
R02090	C00362	C00361	kegg
R02103	C00385	C00366	kegg
R02106	C00366	C11821	kegg
R02107	C00385	C00366	kegg
R02141	C00385	C05515	kegg
R02142	C00655	C00385	kegg
R02142	C00655	C00119	kegg
R02143	C01762	C00385	kegg
R02143	C01762	C00121	kegg
R02147	C00387	C00242	kegg
R02147	C00387	C00620	kegg
R02148	C06193	C00387	kegg
R02297	C01762	C00385	kegg
R02297	C01762	C00620	kegg
R02422	C00499	C00603	kegg
R02422	C00499	C00086	kegg
R02423	C00499	C02091	kegg
R02556	C00559	C05512	kegg
R02557	C00559	C00147	kegg
R02557	C00559	C00672	kegg
R02646	C05513	C00366	kegg
R02646	C05513	C00620	kegg
R02719	C00655	C01762	kegg
R02720	C00700	C00655	kegg
R02729	C00664	C00101	kegg
R02729	C00664	C02718	kegg
R02748	C05512	C00262	kegg
R02748	C05512	C00672	kegg
R02805	C04392	C00700	kegg
R02805	C04392	C00655	kegg
R02935	C00603	C00802	kegg
R02936	C00603	C00802	kegg
R02937	C00169	C00802	kegg
R02937	C01444	C00802	kegg
R03409	C04494	C01228	kegg
R03530	C01344	C01345	kegg
R03531	C01345	C06196	kegg
R03537	C02353	C01367	kegg
R04026	C02718	C06195	kegg
R04144	C03090	C03838	kegg
R04208	C04640	C03373	kegg
R04209	C04751	C03373	kegg
R04325	C00234	C00101	kegg
R04325	C00234	C04376	kegg
R04325	C03838	C00101	kegg
R04325	C03838	C04376	kegg
R04378	C04677	C04051	kegg
R04378	C04677	C00119	kegg
R04463	C04376	C04640	kegg
R04559	C04823	C00122	kegg
R04559	C04823	C04677	kegg
R04560	C00234	C00101	kegg
R04560	C00234	C04734	kegg
R04560	C04677	C00101	kegg
R04560	C04677	C04734	kegg
R04591	C04751	C04823	kegg
R04591	C00049	C04823	kegg
R04731	C05239	C06195	kegg
R04732	C05239	C05516	kegg
R04857	C05515	C05516	kegg
R05135	C06194	C06193	kegg
R05554	C02091	C00603	kegg
R06601	C11821	C12248	kegg
R06605	C12248	C02348	kegg
R06974	C03838	C04376	kegg
R06975	C04677	C04734	kegg
R07404	C03373	C15667	kegg
R07404	C00288	C15667	kegg
R07405	C15667	C04751	kegg
R09514	C00366	C11821	kegg
R10235	C01344	C06196	kegg
R10908	C02091	C00802	kegg
R10908	C00048	C00802	kegg
R11617	C01444	C00209	kegg
R11633	C00044	C00286	kegg
R11634	C00058	C00131	kegg
R12703	C00499	C02091	kegg
R12703	C00499	C00169	kegg
R07917	C01762	C16352	kegg
R07918	C16352	C00121	kegg
R07920	C07480	C07481	kegg
R07921	C13747	C07481	kegg
R07939	C07481	C13747	kegg
R07940	C13747	C16365	kegg
R07941	C16365	C16366	kegg
R07942	C16358	C16359	kegg
R07943	C13747	C16358	kegg
R07945	C13747	C16356	kegg
R07954	C07481	C13747	kegg
R07955	C07481	C07480	kegg
R07956	C07481	C07480	kegg
R07959	C13747	C16358	kegg
R07960	C13747	C16358	kegg
R07963	C07480	C16357	kegg
R07964	C07480	C16357	kegg
R07967	C16357	C00385	kegg
R07968	C16357	C00385	kegg
R07969	C16358	C00385	kegg
R07970	C16358	C00385	kegg
R07971	C07481	C07130	kegg
R07972	C07481	C07130	kegg
R07973	C07130	C16357	kegg
R07974	C07130	C16357	kegg
R07975	C07130	C16358	kegg
